1,1,company_1
2,1,company_1
4,1,company_1
5,1,company_1
11,6,company_6
16,11,company_11
17,11,company_11
19,14,company_14
22,16,company_16
23,17,company_17
24,18,company_18
25,19,company_19
27,24,company_24
28,24,company_24
29,26,company_26
30,27,company_27
31,29,company_29
32,31,company_31
33,32,company_32
36,37,company_37
37,38,company_38
38,39,company_39
39,40,company_40
40,42,company_42
41,43,company_43
44,46,company_46
45,54,company_54
46,55,company_55
47,55,company_55
48,56,company_56
49,57,company_57
51,59,company_59
52,62,company_62
54,64,company_64
56,66,company_66
57,67,company_67
59,69,company_69
60,70,company_70
61,71,company_71
63,75,company_75
65,77,company_77
67,79,company_79
68,79,company_79
70,82,company_82
72,83,company_83
73,85,company_85
75,88,company_88
76,89,company_89
78,91,company_91
84,99,company_99
85,100,company_100
87,103,company_103
90,107,company_107
94,112,company_112
95,114,company_114
96,115,company_115
98,117,company_117
99,118,company_118
101,119,company_119
102,120,company_120
103,123,company_123
104,124,company_124
105,125,company_125
109,131,company_131
110,133,company_133
111,134,company_134
112,137,company_137
113,137,company_137
114,148,company_148
115,149,company_149
116,152,company_152
117,152,company_152
118,153,company_153
119,154,company_154
120,160,company_160
121,161,company_161
122,162,company_162
123,163,company_163
124,164,company_164
125,167,company_167
127,169,company_169
128,170,company_170
129,171,company_171
130,172,company_172
132,174,company_174
133,175,company_175
137,178,company_178
138,181,company_181
140,183,company_183
141,184,company_184
142,185,company_185
144,187,company_187
145,188,company_188
146,189,company_189
147,190,company_190
148,191,company_191
150,194,company_194
151,195,company_195
155,200,company_200
156,202,company_202
157,205,company_205
158,206,company_206
165,209,company_209
167,212,company_212
170,214,company_214
172,217,company_217
179,223,company_223
180,225,company_225
181,227,company_227
182,229,company_229
183,230,company_230
189,236,company_236
190,237,company_237
191,240,company_240
192,240,company_240
193,241,company_241
194,242,company_242
196,245,company_245
197,245,company_245
198,249,company_249
199,250,company_250
200,252,company_252
201,254,company_254
202,254,company_254
204,256,company_256
205,257,company_257
207,260,company_260
208,261,company_261
209,262,company_262
210,263,company_263
212,268,company_268
213,269,company_269
214,270,company_270
220,278,company_278
221,279,company_279
222,298,company_298
223,299,company_299
224,300,company_300
228,304,company_304
234,310,company_310
235,311,company_311
236,312,company_312
237,314,company_314
239,317,company_317
240,318,company_318
